"НАЗВАНИЕ";"ОКВЭД";"№ Нал";"дата";"БАНК";"ФИО ДИРА";"АДРЕС";"Цена"
"ООО С СРО";;;;;;;
"ООО ""КРАФТКОМПАНИ"" (СРО Энергоаудит)";"51.7";19;"23.04.2015";"Ланта Банк+ЭЦП+СРО";"Старцев Валерий Николаевич";"ул. Шарикоподшипниковская";150000
"ООО ""СТРОЙ ЭКСПЕРТ"" (СРО строителей)";"45.21";31;18.06.2004;"Адмиралтейский счет 14.03 иб акт";"Меркулов Сергей Игоревич(не доступен)";"ул. Гришина";"320000 / 80000"
"ООО ""ПРАВОВОЕ СОДЕЙСТВИЕ ПО СТРОИТЕЛЬСТВУ"" (СРО строителей)";"45.21";2;17.12.2013;"Ланта+карта счет 27.01 иб акт";"Оральнов Андрей Андреевич(доступна)";"ул. Переяславская Б.";320000
"ООО ""АРИЭЛЬСТРОЙ"" (СРО проектировщиков)";"45.2";5;22.03.2013;"Профессионал счет 28.03 иб акт";"Перевалов Евгений Викторович(недоступен)";"ул. Кожевническая, д. 17, стр. 1";"140000 / 260000 ЭЦП (на эл. торги) Проектное СРО"
"ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ «МЕРИДИАН» (СРО строителей)";"45.21";23;11.02.2014;"Северный Кредит счет 26.02 иб акт";"Молодцов Иван Дмитриевич(доступен)";"ул. Пупкина";320000
"ООО «СТРОЙФИНТРАСТ» (СРО строителей)";"45.21";22;18.02.2014;"Северный кредит+СРО счет 07.03 иб акт";"Савенчук Андрей Николаевич(доступен)";"ул. Скотопрогонная";320000
"ООО ""ЭНЕРГОСТРОЙ"" (СРО строителей)";"45.21";43;03.03.2014;"Северный кредит+СРО счет 12.03 иб акт";"Казарцев Андрей Николаевич(доступен)";"Светлый пр-д.";320000
"ООО""ИМПЕРИЯСТРОЙ"" (СРО строителей)";"45.21";4;03.03.2014;"Северный кредит+СРО счет 12.03 иб акт";"Казарцев Андрей Николаевич(доступен)";"Абрикосовский пер.";320000
"ООО «ИНВЕСТСТРОЙПРОЕКТ» (СРО строителей)";"45.21";34;13.03.2014;"Ланта банк+СРО счет 24.03 иб акт";"Тулузакова Татьяна Николаевна(доступна)";"Новохорошевский пр-д.";320000
"ООО""СТРОЙСИТИГРАД"" (СРО строителей)";"45.21";43;14.03.2014;"Ланта банк+СРО счет 24.03 иб акт";"Тимофеева Лариса Анатольевна(доступна)";"Светлый пр-д.";320000
"ООО""ПРЕМИУМ СТРОЙ"" (СРО строителей)";"45.21";20;18.03.2014;"Ланта+СРО счет 27.03 иб акт";"Старостин Алексей Владимирович(доступен)";"ул. Уткина";320000
"ООО «СТРОЙЭНЕРДЖИ» (СРО строителей)";"45.21";25;18.03.2014;"Ланта банк+СРО счет 24.03 иб акт";"Першин Владимир Викторович(доступен)";"ул. Кировоградская";320000
"ООО""ГАРАНТСТРОЙПРОЕКТ"" (СРО строителей)";"45.21";36;19.03.2014;"Ланта+СРО счет 26.03 иб акт";"Кривошеева Анастасия Сергеевна(доступна)";"ул. Вавилова";320000
"""АЙСБЕРГ"" (СРО строителей)";"45.21";1;19.03.2014;"Ланта банк+СРО счет 24.03 иб акт";"Тимофеева Лариса Анатольевна(дступна)";"ул. Доброслободская";320000
"ООО «СТРОЙ МОНОЛИТ» (СРО строителей)";"45.21";34;21.03.2014;"Ланта+СРО счет 02.04 иб акт";"Старостин Андрей Андреевич(доступен)";"ул. Новощукинская";320000
"ООО «СТРАТЕГИЯ» (СРО строителей)";"45.21";34;24.03.2014;"Ланта+СРО счет 03.04 иб акт";"Юров Иван Вячеславович(доступен)";"ул. Новощукинская";320000
"КОМПАНИИ С МФО";;;;;;;
"ООО ""РЕГИОНФИНАНС""";"65.22";36;31.10.2013;"БАНК 2Т счет 13.12 иб акт";"учр Озерин, г.д.Кандауров Андрей Александрович- получено";"ул. Строителей, д. 6, корп. 6";100000
"ООО ""ЭКСПРЕСС ДЕНЬГИ""";"65.22";5;12.02.2014;"Ланта счет+чековая книжка 27.02 иб акт";"учр Молодцов Иван Дмитриевич, ген дир Афанасьев Олег-получено";"Овчинниковский Б. Пер., д. 24, стр. 1";100000
"ООО ""СУПЕРМАРКЕТ ЗАЙМОВ""";"65.22";5;14.02.2014;"Ланта счет+чековая книжка 27.02 иб акт";"Иванин Антон Сергеевич- получено";"Щипковский 1-й пер.,  д. 19/1, стр. 2";100000
"ООО ""МИКРОФИНАНС ГРУПП""

";"65.22";3;18.02.2014;"Ланта счет+чековая книжка 27.02 иб акт";"Полещук Елена Сергеевна- получено";"ул. Грузинская М., д. 25, стр. 5";100000
"Компании с ЭП госзаказы";;;;;;;
"ООО ""ИНКОМСТРОЙ""";"45.21";21;04.02.2014;"ЛантаБанк+ЭЦП, счет открыт 11.02., иб актив";"Папин Андрей Евгеньевич(доступен)";"Лермонтовский пр-т.";60000
"ООО ""КОМПЛЕКСНОЕ ПРОЕКТИРОВАНИЕ СООРУЖЕНИЙ""";"45.21";43;10.04.2014;"Тройка Д+чековая книжка счет 08.05 иб акт";"Стась Денис Геннадийевич( доступен)";"Светлый пр-д.";60000
"ООО ""ВЫМПЕЛ-СТРОЙ""";"45.21";22;20.05.2014;"2Т банк подано 23.05";"Николаева Алёна Валерьевна(доступна)";"ул. Талалихина";60000
"ООО ""ОМЕГА-СТРОЙ""";"45.21";28;08.04.2014;"Тройка Д";"Толинов Сергей Алексеевич";"ул. Профсоюзная";60000
"ООО ""ЭМАКС""";"51.70";33;07.05.2014;"2Т банк+карта счет 21.05 иб акт";"Полосуева Татьяна Васильевна(доступна)";"ул. Барышиха";60000
"ООО СО СЧЕТОМ";;;;;;;
"ООО ""ПРОФЕССИОНАЛ""";"51.7";19;19.12.2013;"Сбер счет 13.05 бизнес онлайн акт";"Агеева Татьяна Николаевна(доступна)";"ул. Парковая 8-я, д. 26";80000
"ООО ""ЖЕМЧУЖНЫЙ РАЙ""";"51.7";29;21.03.2014;"Ланта+чековая книжка счет 18.04";"Тулузакова Елена Александровна(доступна)";"ул. Наро-Фоминская";35000
"ООО «СИТИ ГРУПП»";"51.70";23;24.03.2014;"ланта + карта VISA бизнес счет 02.04 иб акт";"Старостин Андрей Андреевич(доступен)";"ул. Новоостаповская";40000
"ООО ""СМАРТСОФТ""";"51.64.2";7;07.04.2014;"Ланта+чековая книжка счет 22.04 иб акт";"Семибратов Иван Васильевич(доступен)";"ул. Сущевская";35000
"ООО ""БИЗНЕСПАРК""";"70.20";25;08.04.2014;"Ланта+чековая книжка счет 22.04 иб акт";"Семибратов Иван Васильевич(доступен)";"ул. Татищева";35000
"ООО ""ЮК ДОВЕРИЕ""";"74.11";18;07.04.2014;"Адмиралтейский счет 24.04 бизнес онлайн акт";"Григорян Михаил Григорьевич(не доступен)";"ул. Наримановская";30000
"ООО ""ЮК ПРАВО""";"74.11";15;17.04.2014;"2Т банк+карта счет 05.05 иб акт";"Аляпкин Николай Викторович (доступен)";"ул. Водопьянова";30000
"ООО «МАКСИМА»";"51.70";8;30.10.2013;"Адмиралтейский счет 07.05 иб акт";"Ясакова Гульнара Абдулловна(не доступна)";"Ольховский пер.";35000
